,0
20200803,sz000017
20200803,sz000408
20200803,sz000409
20200803,sz000410
20200803,sz000422
20200803,sz000504
20200803,sz000509
20200803,sz000536
20200803,sz000571
20200803,sz000572
20200803,sz000585
20200803,sz000587
20200803,sz000595
20200803,sz000611
20200803,sz000662
20200803,sz000663
20200803,sz000669
20200803,sz000670
20200803,sz000673
20200803,sz000679
20200803,sz000687
20200803,sz000707
20200803,sz000727
20200803,sz000737
20200803,sz000752
20200803,sz000760
20200803,sz000780
20200803,sz000792
20200803,sz000803
20200803,sz000806
20200803,sz000816
20200803,sz000820
20200803,sz000835
20200803,sz000837
20200803,sz000868
20200803,sz000890
20200803,sz000911
20200803,sz000927
20200803,sz000939
20200803,sz000953
20200803,sz000971
20200803,sz000972
20200803,sz000980
20200803,sz000981
20200803,sz000982
20200803,sz000995
20200803,sz002005
20200803,sz002021
20200803,sz002052
20200803,sz002071
20200803,sz002072
20200803,sz002076
20200803,sz002077
20200803,sz002086
20200803,sz002089
20200803,sz002102
20200803,sz002113
20200803,sz002121
20200803,sz002122
20200803,sz002147
20200803,sz002175
20200803,sz002176
20200803,sz002188
20200803,sz002192
20200803,sz002200
20200803,sz002210
20200803,sz002219
20200803,sz002220
20200803,sz002247
20200803,sz002255
20200803,sz002256
20200803,sz002259
20200803,sz002260
20200803,sz002280
20200803,sz002289
20200803,sz002290
20200803,sz002306
20200803,sz002319
20200803,sz002323
20200803,sz002333
20200803,sz002336
20200803,sz002354
20200803,sz002356
20200803,sz002359
20200803,sz002418
20200803,sz002420
20200803,sz002426
20200803,sz002427
20200803,sz002445
20200803,sz002447
20200803,sz002450
20200803,sz002470
20200803,sz002473
20200803,sz002496
20200803,sz002499
20200803,sz002501
20200803,sz002502
20200803,sz002513
20200803,sz002529
20200803,sz002535
20200803,sz002569
20200803,sz002575
20200803,sz002586
20200803,sz002592
20200803,sz002629
20200803,sz002638
20200803,sz002650
20200803,sz002656
20200803,sz002681
20200803,sz002684
20200803,sz002692
20200803,sz002700
20200803,sz002711
20200803,sz002716
20200803,sz002719
20200803,sz002766
20200803,sz002770
20200803,sz002872
20200803,sz200017
20200803,sz200168
20200803,sh600069
20200803,sh600080
20200803,sh600083
20200803,sh600084
20200803,sh600086
20200803,sh600090
20200803,sh600091
20200803,sh600112
20200803,sh600119
20200803,sh600122
20200803,sh600145
20200803,sh600146
20200803,sh600149
20200803,sh600175
20200803,sh600179
20200803,sh600193
20200803,sh600209
20200803,sh600212
20200803,sh600215
20200803,sh600225
20200803,sh600226
20200803,sh600228
20200803,sh600234
20200803,sh600238
20200803,sh600241
20200803,sh600242
20200803,sh600243
20200803,sh600247
20200803,sh600255
20200803,sh600265
20200803,sh600275
20200803,sh600280
20200803,sh600289
20200803,sh600290
20200803,sh600301
20200803,sh600306
20200803,sh600311
20200803,sh600319
20200803,sh600354
20200803,sh600358
20200803,sh600385
20200803,sh600399
20200803,sh600408
20200803,sh600416
20200803,sh600421
20200803,sh600423
20200803,sh600462
20200803,sh600470
20200803,sh600485
20200803,sh600518
20200803,sh600530
20200803,sh600539
20200803,sh600555
20200803,sh600568
20200803,sh600595
20200803,sh600599
20200803,sh600608
20200803,sh600610
20200803,sh600614
20200803,sh600634
20200803,sh600651
20200803,sh600652
20200803,sh600654
20200803,sh600666
20200803,sh600671
20200803,sh600677
20200803,sh600687
20200803,sh600696
20200803,sh600698
20200803,sh600701
20200803,sh600721
20200803,sh600725
20200803,sh600734
20200803,sh600767
20200803,sh600781
20200803,sh600815
20200803,sh600816
20200803,sh600817
20200803,sh600821
20200803,sh600836
20200803,sh600856
20200803,sh600860
20200803,sh600870
20200803,sh600877
20200803,sh600891
20200803,sh600892
20200803,sh600898
20200803,sh600978
20200803,sh601113
20200803,sh601258
20200803,sh603157
20200803,sh603188
20200803,sh603389
20200803,sh603555
20200803,sh603779
20200803,sh603996
20200803,sh900906
20200803,sh900907
20200803,sh900946
20200803,sh900951
20200803,sh900955
20200804,sz000017
20200804,sz000408
20200804,sz000409
20200804,sz000410
20200804,sz000422
20200804,sz000504
20200804,sz000509
20200804,sz000536
20200804,sz000571
20200804,sz000572
20200804,sz000585
20200804,sz000587
20200804,sz000595
20200804,sz000611
20200804,sz000662
20200804,sz000663
20200804,sz000669
20200804,sz000670
20200804,sz000673
20200804,sz000679
20200804,sz000687
20200804,sz000707
20200804,sz000727
20200804,sz000737
20200804,sz000752
20200804,sz000760
20200804,sz000780
20200804,sz000792
20200804,sz000803
20200804,sz000806
20200804,sz000816
20200804,sz000820
20200804,sz000835
20200804,sz000837
20200804,sz000868
20200804,sz000890
20200804,sz000911
20200804,sz000927
20200804,sz000939
20200804,sz000953
20200804,sz000971
20200804,sz000972
20200804,sz000980
20200804,sz000981
20200804,sz000982
20200804,sz000995
20200804,sz002005
20200804,sz002021
20200804,sz002052
20200804,sz002071
20200804,sz002072
20200804,sz002076
20200804,sz002077
20200804,sz002086
20200804,sz002089
20200804,sz002102
20200804,sz002113
20200804,sz002121
20200804,sz002122
20200804,sz002147
20200804,sz002175
20200804,sz002176
20200804,sz002188
20200804,sz002192
20200804,sz002200
20200804,sz002210
20200804,sz002219
20200804,sz002220
20200804,sz002247
20200804,sz002255
20200804,sz002256
20200804,sz002259
20200804,sz002260
20200804,sz002280
20200804,sz002289
20200804,sz002290
20200804,sz002306
20200804,sz002319
20200804,sz002323
20200804,sz002333
20200804,sz002336
20200804,sz002354
20200804,sz002356
20200804,sz002359
20200804,sz002418
20200804,sz002420
20200804,sz002426
20200804,sz002427
20200804,sz002445
20200804,sz002447
20200804,sz002450
20200804,sz002470
20200804,sz002473
20200804,sz002496
20200804,sz002499
20200804,sz002501
20200804,sz002502
20200804,sz002513
20200804,sz002529
20200804,sz002535
20200804,sz002569
20200804,sz002575
20200804,sz002586
20200804,sz002592
20200804,sz002629
20200804,sz002638
20200804,sz002650
20200804,sz002656
20200804,sz002681
20200804,sz002684
20200804,sz002692
20200804,sz002700
20200804,sz002711
20200804,sz002716
20200804,sz002719
20200804,sz002766
20200804,sz002770
20200804,sz002872
20200804,sz200017
20200804,sz200168
20200804,sh600069
20200804,sh600080
20200804,sh600083
20200804,sh600084
20200804,sh600086
20200804,sh600090
20200804,sh600091
20200804,sh600112
20200804,sh600119
20200804,sh600122
20200804,sh600145
20200804,sh600146
20200804,sh600149
20200804,sh600175
20200804,sh600179
20200804,sh600193
20200804,sh600209
20200804,sh600212
20200804,sh600215
20200804,sh600225
20200804,sh600226
20200804,sh600228
20200804,sh600234
20200804,sh600238
20200804,sh600241
20200804,sh600242
20200804,sh600243
20200804,sh600247
20200804,sh600255
20200804,sh600265
20200804,sh600275
20200804,sh600280
20200804,sh600289
20200804,sh600290
20200804,sh600301
20200804,sh600306
20200804,sh600311
20200804,sh600319
20200804,sh600354
20200804,sh600358
20200804,sh600385
20200804,sh600399
20200804,sh600408
20200804,sh600416
20200804,sh600421
20200804,sh600423
20200804,sh600462
20200804,sh600470
20200804,sh600485
20200804,sh600518
20200804,sh600530
20200804,sh600539
20200804,sh600555
20200804,sh600568
20200804,sh600595
20200804,sh600599
